,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores
553,1906,New York City Housing Authority,Heat Complaint in NYCHA Building,Complaint that public housing is too cold or overheated.,New York City Housing Authority Heat Complaint in NYCHA Building Complaint that public housing is too cold or overheated.,new york city housing authority heat complaint in nycha building complaint that public housing is too cold or overheated.,new york city housing authority heat complaint nycha building complaint public housing cold overheated,"{'neg': 0.263, 'neu': 0.659, 'pos': 0.078, 'compound': -0.4767}"
554,1903,New York City Police Department,Missing Person,"Report of a missing person. Tips about someone who is missing, abducted, or kidnapped. Requires immediate transfer to 911.","New York City Police Department Missing Person Report of a missing person. Tips about someone who is missing, abducted, or kidnapped. Requires immediate transfer to 911.","new york city police department missing person report of a missing person. tips about someone who is missing, abducted, or kidnapped. requires immediate transfer to 911.","new york city police department missing person report missing person tips someone missing, abducted, kidnapped requires immediate transfer","{'neg': 0.414, 'neu': 0.586, 'pos': 0.0, 'compound': -0.836}"
555,1897,New York City Police Department,Animal - Vicious,Report of an animal causing a dangerous or hazardous condition. Requires immediate transfer to 911.,New York City Police Department Animal - Vicious Report of an animal causing a dangerous or hazardous condition. Requires immediate transfer to 911.,new york city police department animal - vicious report of an animal causing a dangerous or hazardous condition. requires immediate transfer to 911.,new york city police department animal vicious report animal causing dangerous hazardardous condition requires immediate transfer,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.6808}"
556,1891,Department of Homeless Services,Assistance for Homeless People in Shelters,Assistance for a homeless person currently in the shelter system. Includes medical concerns.,Department of Homeless Services Assistance for Homeless People in Shelters Assistance for a homeless person currently in the shelter system. Includes medical concerns.,department of homeless services assistance for homeless people in shelters assistance for a homeless person currently in the shelter system. includes medical concerns.,department homeless services assistance homeless people shelters assistance homeless person currently shelter system includes medical concerns,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
557,1890,,Dog or Animal Waste,"Report dog or animal waste in a park or on a street, sidewalk, or private property."," Dog or Animal Waste Report dog or animal waste in a park or on a street, sidewalk, or private property."," dog or animal waste report dog or animal waste in a park or on a street, sidewalk, or private property.","dog animal animal waste report dog animal animal waste park street, sidewalk, private property building","{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.6808}"
558,1889,Department of Sanitation,Donate or Find Goods,Get information about donating or finding second-hand goods.,Department of Sanitation Donate or Find Goods Get information about donating or finding second-hand goods.,department of sanitation donate or find goods get information about donating or finding second-hand goods.,department sanitation waste donate find goods get information donating finding secondhand goods,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.4215}"
559,1888,New York City Police Department,Arrested Person Location - Bronx,Locate a person you think is in police custody in the Bronx.,New York City Police Department Arrested Person Location - Bronx Locate a person you think is in police custody in the Bronx.,new york city police department arrested person location - bronx locate a person you think is in police custody in the bronx.,new york city police department arrested person location bronx locate person think police custody bronx,"{'neg': 0.181, 'neu': 0.819, 'pos': 0.0, 'compound': -0.4767}"
560,1885,Department of Finance,Property Tax Exemption Renewal Application - SCHE,Application and information for renewing the Senior Citizen Homeowners' Exemption.,Department of Finance Property Tax Exemption Renewal Application - SCHE Application and information for renewing the Senior Citizen Homeowners' Exemption.,department of finance property tax exemption renewal application - sche application and information for renewing the senior citizen homeowners' exemption.,department finance property building tax exemption renewal application sche application information renewing senior citizen homeowners exemption,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
561,1883,,Veterans Day,"Monday, November 11th is Veterans Day."," Veterans Day Monday, November 11th is Veterans Day."," veterans day monday, november 11th is veterans day.","veterans day monday, november th veterans day","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
562,1882,3-1-1 Call Center,311 Complaint or Compliment,Complaint or compliment about the quality of service provided by 311 or a 311 employee.,3-1-1 Call Center 311 Complaint or Compliment Complaint or compliment about the quality of service provided by 311 or a 311 employee.,3-1-1 call center 311 complaint or compliment complaint or compliment about the quality of service provided by 311 or a 311 employee.,call center complaint commendation complaint commendation quality service provided employee,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.5267}"
563,1877,Department of Buildings,Building Construction Unauthorized After Hours,Report building construction after-hours or on weekends.,Department of Buildings Building Construction Unauthorized After Hours Report building construction after-hours or on weekends.,department of buildings building construction unauthorized after hours report building construction after-hours or on weekends.,department buildings building construction unauthorized hours report building construction afterhours weekends,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
564,1865,Department of Environmental Protection,Flooding Street,Report street flooding or ponding.,Department of Environmental Protection Flooding Street Report street flooding or ponding.,department of environmental protection flooding street report street flooding or ponding.,department environmental protection flooding street report street flooding ponding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
565,1863,Department of Environmental Protection,Fire Hydrant Leaking,Report a fire hydrant that is leaking a small amount of water when shut off.,Department of Environmental Protection Fire Hydrant Leaking Report a fire hydrant that is leaking a small amount of water when shut off.,department of environmental protection fire hydrant leaking report a fire hydrant that is leaking a small amount of water when shut off.,department environmental protection fire hydrant leaking report fire hydrant leaking small amount water shut,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.5859}"
566,1863,Department of Consumer Affairs,DCA Online Licensing Service - Technical Assistance,Assistance for businesses having technical problems using the Department of Consumer Affairs' online services portal.,Department of Consumer Affairs DCA Online Licensing Service - Technical Assistance Assistance for businesses having technical problems using the Department of Consumer Affairs' online services portal.,department of consumer affairs dca online licensing service - technical assistance assistance for businesses having technical problems using the department of consumer affairs' online services portal.,department constructionumer affairs dca online licensing service technical assistance assistance businesses technical problems using department constructionumer affairs online services portal,"{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.4019}"
567,1863,,Commercial Garbage Disposal Complaint,Report improper garbage disposal by a business or make a complaint about a commercial waste disposal company., Commercial Garbage Disposal Complaint Report improper garbage disposal by a business or make a complaint about a commercial waste disposal company., commercial garbage disposal complaint report improper garbage disposal by a business or make a complaint about a commercial waste disposal company.,commercial garbage disposal complaint report improper garbage disposal business make complaint commercial waste disposal company,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.7351}"
568,1854,,Election Day,"Tuesday, November 5th is Election Day."," Election Day Tuesday, November 5th is Election Day."," election day tuesday, november 5th is election day.","election day tuesday, november th election day","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
569,1854,,Pre-Kindergarten Enrollment,Learn about pre-kindergarten enrollment., Pre-Kindergarten Enrollment Learn about pre-kindergarten enrollment., pre-kindergarten enrollment learn about pre-kindergarten enrollment.,prekindergarten enrollment learn prekindergarten enrollment,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
570,1853,,Sidewalk Construction Permit,"Apply for a permit to repair, install, or replace a sidewalk."," Sidewalk Construction Permit Apply for a permit to repair, install, or replace a sidewalk."," sidewalk construction permit apply for a permit to repair, install, or replace a sidewalk.","sidewalk construction permit apply permit repair, install, replace sidewalk","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
571,1838,Department of Parks and Recreation,Tree Pruning - Hitting Building,Request for street tree branch trimming or cutting for trees hitting building.,Department of Parks and Recreation Tree Pruning - Hitting Building Request for street tree branch trimming or cutting for trees hitting building.,department of parks and recreation tree pruning - hitting building request for street tree branch trimming or cutting for trees hitting building.,department parks parks recreation parks recreation tree pruning hitting building request street tree branch trimming cutting trees hitting building,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.128}"
572,1832,Department of Health and Mental Hygiene,Day Care Center Permit and Operations,"Day care license and operation information, and technical assistance.","Department of Health and Mental Hygiene Day Care Center Permit and Operations Day care license and operation information, and technical assistance.","department of health and mental hygiene day care center permit and operations day care license and operation information, and technical assistance.","department health mental hygiene day care center permit operations day care license operation information, technical assistance","{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.7506}"
573,1830,New York City Police Department,Drug Activity Use or Sale Outside - In Progress,Report illegal use or sale of drugs occurring outside right now. Requires immediate transfer to 911.,New York City Police Department Drug Activity Use or Sale Outside - In Progress Report illegal use or sale of drugs occurring outside right now. Requires immediate transfer to 911.,new york city police department drug activity use or sale outside - in progress report illegal use or sale of drugs occurring outside right now. requires immediate transfer to 911.,new york city police department drug activity use sale outside progress report illegal use sale drugs occurring outside right requires immediate transfer,"{'neg': 0.136, 'neu': 0.758, 'pos': 0.106, 'compound': -0.2023}"
574,1827,,Street Repair Complaint,Report damage to a street caused by street work., Street Repair Complaint Report damage to a street caused by street work., street repair complaint report damage to a street caused by street work.,street repair complaint report damage street caused street work,"{'neg': 0.435, 'neu': 0.565, 'pos': 0.0, 'compound': -0.6597}"
575,1824,Department of Environmental Protection,Water Meter Broken or Leaking - Priority,Request repair of a broken or leaking water meter.,Department of Environmental Protection Water Meter Broken or Leaking - Priority Request repair of a broken or leaking water meter.,department of environmental protection water meter broken or leaking - priority request repair of a broken or leaking water meter.,department environmental protection water meter broken leaking priority request repair broken leaking water meter,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.7351}"
576,1820,,Home Care,"Get in-home care for Medicaid and Medicare recipients, seniors, and others."," Home Care Get in-home care for Medicaid and Medicare recipients, seniors, and others."," home care get in-home care for medicaid and medicare recipients, seniors, and others.","home care get inhome care medicaid medicare recipients, seniors, others","{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.7506}"
577,1820,,Lead in Drinking Water,Get a kit to test drinking water for high levels of lead and tips to reduce lead exposure., Lead in Drinking Water Get a kit to test drinking water for high levels of lead and tips to reduce lead exposure., lead in drinking water get a kit to test drinking water for high levels of lead and tips to reduce lead exposure.,lead drinking water get kit test drinking water high levels lead tips reduce lead exposure,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
578,1813,,Federal Tax,Learn about federal taxes for individuals., Federal Tax Learn about federal taxes for individuals., federal tax learn about federal taxes for individuals.,federal tax learn federal taxes individuals,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
579,1804,,Towed Vehicle Reclaim from Marshal or Sheriff,Reclaim a vehicle towed or in the process of being towed by a Marshal or Sheriff., Towed Vehicle Reclaim from Marshal or Sheriff Reclaim a vehicle towed or in the process of being towed by a Marshal or Sheriff., towed vehicle reclaim from marshal or sheriff reclaim a vehicle towed or in the process of being towed by a marshal or sheriff.,towed vehicle reclaim marshal sheriff reclaim vehicle towed process towed marshal sheriff,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
580,1803,Department of Health and Mental Hygiene,Food Protection Course for Businesses that Serve or Process Food - Online,Information about the online Food Protection Course for restaurants and other food establishments. This includes non-retail food processing businesses.,Department of Health and Mental Hygiene Food Protection Course for Businesses that Serve or Process Food - Online Information about the online Food Protection Course for restaurants and other food establishments. This includes non-retail food processing businesses.,department of health and mental hygiene food protection course for businesses that serve or process food - online information about the online food protection course for restaurants and other food establishments. this includes non-retail food processing businesses.,department health mental hygiene food protection course businesses serve process food online information online food protection course restaurants food establishments includes nonretail food processing businesses,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
581,1798,Human Resources Administration,Cooling Assistance Program - Air Conditioner,Application to request an air conditioner for people with a medical condition.,Human Resources Administration Cooling Assistance Program - Air Conditioner Application to request an air conditioner for people with a medical condition.,human resources administration cooling assistance program - air conditioner application to request an air conditioner for people with a medical condition.,human resources administration cooling assistance program air conditioner application request air conditioner people medical condition,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
582,1792,,"Street, Highway, Bridge, and Tunnel Closures","Learn about street, highway, bridge, and tunnel closures."," Street, Highway, Bridge, and Tunnel Closures Learn about street, highway, bridge, and tunnel closures."," street, highway, bridge, and tunnel closures learn about street, highway, bridge, and tunnel closures.","street, highway, bridge, tunnel closures learn street, highway, bridge, tunnel closures","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
583,1792,,Street Vendor Complaint,Report a street vendor or peddler who creates an obstruction or operates without a license or in a restricted area., Street Vendor Complaint Report a street vendor or peddler who creates an obstruction or operates without a license or in a restricted area., street vendor complaint report a street vendor or peddler who creates an obstruction or operates without a license or in a restricted area.,street vendor complaint report street vendor peddler creates obstruction operates without license restricted area,"{'neg': 0.126, 'neu': 0.629, 'pos': 0.245, 'compound': 0.2695}"
584,1786,Department of Housing Preservation and Development,Electrical Complaint in Apartment,Complaint about an electrical problem inside an apartment.,Department of Housing Preservation and Development Electrical Complaint in Apartment Complaint about an electrical problem inside an apartment.,department of housing preservation and development electrical complaint in apartment complaint about an electrical problem inside an apartment.,department housing preservation development electrical complaint apartment complaint electrical problem inside apartment,"{'neg': 0.441, 'neu': 0.559, 'pos': 0.0, 'compound': -0.7269}"
585,1785,Department of Consumer Affairs,Home Improvement Contractor License - Renew or Status,Status of pending applications and information on renewal and expiration.,Department of Consumer Affairs Home Improvement Contractor License - Renew or Status Status of pending applications and information on renewal and expiration.,department of consumer affairs home improvement contractor license - renew or status status of pending applications and information on renewal and expiration.,department constructionumer affairs home improvement contractor license renew status status pending applications information renewal expiration,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4588}"
586,1785,3-1-1 Call Center,311 Call Center,Information about New York City's non-emergency phone number for City government information and services.,3-1-1 Call Center 311 Call Center Information about New York City's non-emergency phone number for City government information and services.,3-1-1 call center 311 call center information about new york city's non-emergency phone number for city government information and services.,call center call center information new york citys nonemergency phone number city government information services,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.0772}"
587,1777,Taxi and Limousine Commission,Taxi Inquiry or Complaint from Taxi Driver or Taxi Licensee,"Assistance for taxi licensees, including owners, taxi drivers, and car service drivers.","Taxi and Limousine Commission Taxi Inquiry or Complaint from Taxi Driver or Taxi Licensee Assistance for taxi licensees, including owners, taxi drivers, and car service drivers.","taxi and limousine commission taxi inquiry or complaint from taxi driver or taxi licensee assistance for taxi licensees, including owners, taxi drivers, and car service drivers.","taxi limousine commission taxi inquiry complaint taxi driver taxi licensee assistance taxi licensees, including owners, taxi drivers, car service drivers","{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.296}"
588,1773,NYS Public Service Commission,Public Utility Complaint,"Complaint about a phone, gas, heat, or electric company.","NYS Public Service Commission Public Utility Complaint Complaint about a phone, gas, heat, or electric company.","nys public service commission public utility complaint complaint about a phone, gas, heat, or electric company.","nys public service commission public utility complaint complaint phone, gas, heat, electric company","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.5267}"
589,1766,,New York State Professional or Business License or Permit,Apply for or renew a New York State business license or permit., New York State Professional or Business License or Permit Apply for or renew a New York State business license or permit., new york state professional or business license or permit apply for or renew a new york state business license or permit.,new york state professional business license permit apply renew new york state business license permit,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
590,1766,Department of Health and Mental Hygiene,Food Safety Complaint - Deli or Restaurant,Report a deli or restaurant that is unsanitary.,Department of Health and Mental Hygiene Food Safety Complaint - Deli or Restaurant Report a deli or restaurant that is unsanitary.,department of health and mental hygiene food safety complaint - deli or restaurant report a deli or restaurant that is unsanitary.,department health mental hygiene food safety complaint deli restaurant report deli restaurant unsanitary,"{'neg': 0.138, 'neu': 0.688, 'pos': 0.175, 'compound': 0.1531}"
591,1765,Department of Health and Mental Hygiene,Technical Assistance - Health Department Online Licensing or Obtain PIN,Technical assistance and PINs for Health Department online licenses and permits.,Department of Health and Mental Hygiene Technical Assistance - Health Department Online Licensing or Obtain PIN Technical assistance and PINs for Health Department online licenses and permits.,department of health and mental hygiene technical assistance - health department online licensing or obtain pin technical assistance and pins for health department online licenses and permits.,department health mental hygiene technical assistance health department online licensing obtain pin technical assistance pins health department online licenses permits,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
592,1765,,Thanksgiving Day,"Thursday, November 28th is Thanksgiving Day."," Thanksgiving Day Thursday, November 28th is Thanksgiving Day."," thanksgiving day thursday, november 28th is thanksgiving day.","thanksgiving day thursday, november th thanksgiving day","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
593,1758,,Building Construction or Alteration Permit,Apply for a permit to construct or alter a building., Building Construction or Alteration Permit Apply for a permit to construct or alter a building., building construction or alteration permit apply for a permit to construct or alter a building.,building construction alteration permit apply permit constructiontruct alter building,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
594,1754,,School Finder,Get locations and contact information for NYC Public Schools., School Finder Get locations and contact information for NYC Public Schools., school finder get locations and contact information for nyc public schools.,school finder get locations contact information nyc public schools,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
595,1753,,Rabid Animal,"Report an animal that may have rabies, dead or alive."," Rabid Animal Report an animal that may have rabies, dead or alive."," rabid animal report an animal that may have rabies, dead or alive.","rabid animal report animal may rabies, dead alive","{'neg': 0.333, 'neu': 0.465, 'pos': 0.202, 'compound': -0.4019}"
596,1745,,Jury Duty,"Learn about City, State, and Federal jury duty."," Jury Duty Learn about City, State, and Federal jury duty."," jury duty learn about city, state, and federal jury duty.","jury duty learn city, state, federal jury duty","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
597,1743,,People with Disabilities Services,"Learn about resources, referrals, and information about programs for people with disabilities."," People with Disabilities Services Learn about resources, referrals, and information about programs for people with disabilities."," people with disabilities services learn about resources, referrals, and information about programs for people with disabilities.","people disabilities services learn resources, referrals, information programs people disabilities","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
598,1734,,Disorderly Person or Group,Report a disorderly person or group creating a dangerous condition., Disorderly Person or Group Report a disorderly person or group creating a dangerous condition., disorderly person or group report a disorderly person or group creating a dangerous condition.,disorderly person group report disorderly person group creating dangerous condition,"{'neg': 0.233, 'neu': 0.602, 'pos': 0.165, 'compound': -0.2263}"
599,1731,Con Edison,Con Ed Electric Customer Service,Billing questions and meter information for all of New York City except the Rockaways.,Con Edison Con Ed Electric Customer Service Billing questions and meter information for all of New York City except the Rockaways.,con edison con ed electric customer service billing questions and meter information for all of new york city except the rockaways.,con edison con ed electric customer service billing general informations meter information new york city except rockaways,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
600,1728,Department of Sanitation,Garbage or Recycling Storage Complaint - Outside Building,Complaint about garbage or recycling left outside a building in the wrong place or at the wrong time.,Department of Sanitation Garbage or Recycling Storage Complaint - Outside Building Complaint about garbage or recycling left outside a building in the wrong place or at the wrong time.,department of sanitation garbage or recycling storage complaint - outside building complaint about garbage or recycling left outside a building in the wrong place or at the wrong time.,department sanitation waste garbage recycling storage complaint outside building complaint garbage recycling left outside building wrong place wrong time,"{'neg': 0.489, 'neu': 0.511, 'pos': 0.0, 'compound': -0.9081}"
601,1717,,Drug and Alcohol Treatment,"Get free, confidential help with drug or alcohol addiction, such as crisis services and treatment referrals. Make a drug/alcohol rehab facility complaint."," Drug and Alcohol Treatment Get free, confidential help with drug or alcohol addiction, such as crisis services and treatment referrals. Make a drug/alcohol rehab facility complaint."," drug and alcohol treatment get free, confidential help with drug or alcohol addiction, such as crisis services and treatment referrals. make a drug/alcohol rehab facility complaint.","drug alcohol treatment get free, confidential help drug alcohol addiction, crisis services treatment referrals make drugalcohol rehab facility complaint","{'neg': 0.231, 'neu': 0.549, 'pos': 0.22, 'compound': -0.0772}"
602,1715,,SafeLink Cell Phone Program,Learn about cell phone offers from SafeLink Wireless., SafeLink Cell Phone Program Learn about cell phone offers from SafeLink Wireless., safelink cell phone program learn about cell phone offers from safelink wireless.,safelink cell phone program learn cell phone offers safelink wireless,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
603,1714,Tax Commission,"NOPV - Assessed Value, Exemption, Tax Class - Request an Appeal","Appeal property tax assessment, class, or exemption denial with the NYC Tax Commission.","Tax Commission NOPV - Assessed Value, Exemption, Tax Class - Request an Appeal Appeal property tax assessment, class, or exemption denial with the NYC Tax Commission.","tax commission nopv - assessed value, exemption, tax class - request an appeal appeal property tax assessment, class, or exemption denial with the nyc tax commission.","tax commission nopv assessed value, exemption, tax class request appeal appeal property building tax assessment, class, exemption denial nyc tax commission","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.34}"
604,1710,,Noise from Air Conditioner or Ventilation Equipment,"Report noise from an air conditioner, ventilation equipment, or exhaust device."," Noise from Air Conditioner or Ventilation Equipment Report noise from an air conditioner, ventilation equipment, or exhaust device."," noise from air conditioner or ventilation equipment report noise from an air conditioner, ventilation equipment, or exhaust device.","noise air conditioner ventilation equipment report noise air conditioner, ventilation equipment, exhaust device","{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}"
605,1705,,Child Care,"Learn about City-funded child care programs, including EarlyLearn NYC. Get referrals to licensed child care providers."," Child Care Learn about City-funded child care programs, including EarlyLearn NYC. Get referrals to licensed child care providers."," child care learn about city-funded child care programs, including earlylearn nyc. get referrals to licensed child care providers.","child care learn cityfunded child care programs, including earlylearn nyc get referrals licensed child care providers","{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.8625}"
606,1704,Human Resources Administration,Medicaid - Existing Applicant or Enrollee,Assistance for people who receive or have applied for Medicaid.,Human Resources Administration Medicaid - Existing Applicant or Enrollee Assistance for people who receive or have applied for Medicaid.,human resources administration medicaid - existing applicant or enrollee assistance for people who receive or have applied for medicaid.,human resources administration medicaid existing applicant enrollee assistance people receive applied medicaid,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
607,1701,Department of Health and Mental Hygiene,Smoking Complaint - Residence,Report secondhand smoking in residences.,Department of Health and Mental Hygiene Smoking Complaint - Residence Report secondhand smoking in residences.,department of health and mental hygiene smoking complaint - residence report secondhand smoking in residences.,department health mental hygiene smoking complaint residence report secondhand smoking residences,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}"
608,1701,,HPD Section 8,"Learn about the Department of Housing Preservation and Development (HPD) Section 8 Program, also known as the Housing Choice Voucher (HCV) program."," HPD Section 8 Learn about the Department of Housing Preservation and Development (HPD) Section 8 Program, also known as the Housing Choice Voucher (HCV) program."," hpd section 8 learn about the department of housing preservation and development (hpd) section 8 program, also known as the housing choice voucher (hcv) program.","hpd section learn department housing preservation development hpd section program, also known housing choice voucher hcv program","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
609,1697,Department of Parks and Recreation,Tree Work Permit,"Permit to add, prune, decorate or remove curbside trees at the property owner's expense.","Department of Parks and Recreation Tree Work Permit Permit to add, prune, decorate or remove curbside trees at the property owner's expense.","department of parks and recreation tree work permit permit to add, prune, decorate or remove curbside trees at the property owner's expense.","department parks parks recreation parks recreation tree work permit permit add, prune, decorate remove curbside trees property building owners expense","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
610,1691,,Unstable Building,"Report a building that is shaking, vibrating, leaning, unstable, or has a defective or cracked building exterior."," Unstable Building Report a building that is shaking, vibrating, leaning, unstable, or has a defective or cracked building exterior."," unstable building report a building that is shaking, vibrating, leaning, unstable, or has a defective or cracked building exterior.","unstable building report building shaking, vibrating, leaning, unstable, defective cracked building exterior","{'neg': 0.545, 'neu': 0.455, 'pos': 0.0, 'compound': -0.8225}"
611,1691,Department of Transportation,"Street or Highway Sign Installation, Removal, or Relocation","Request installation, removal, change, or relocation of a street or highway sign.","Department of Transportation Street or Highway Sign Installation, Removal, or Relocation Request installation, removal, change, or relocation of a street or highway sign.","department of transportation street or highway sign installation, removal, or relocation request installation, removal, change, or relocation of a street or highway sign.","department transit transportation street highway sign installation, removal, relocation request installation, removal, change, relocation street highway sign","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
612,1687,3-1-1 Call Center,Disabled Vehicle on Street,Information about a disabled vehicle on a City street.,3-1-1 Call Center Disabled Vehicle on Street Information about a disabled vehicle on a City street.,3-1-1 call center disabled vehicle on street information about a disabled vehicle on a city street.,call center disabled vehicle street information disabled vehicle city street,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
613,1679,,Child Support,"Get help with eligibility, obligations, payments, enforcement, and accounts."," Child Support Get help with eligibility, obligations, payments, enforcement, and accounts."," child support get help with eligibility, obligations, payments, enforcement, and accounts.","child support get help eligibility, obligations, payments, enforcement, accounts","{'neg': 0.0, 'neu': 0.565, 'pos': 0.435, 'compound': 0.6597}"
614,1678,,General Vendor License,Apply for or renew a license to sell or lease goods or services in a public space that is not a store., General Vendor License Apply for or renew a license to sell or lease goods or services in a public space that is not a store., general vendor license apply for or renew a license to sell or lease goods or services in a public space that is not a store.,general vendor license apply renew license sell lease goods services public space store,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
615,1675,Department of Transportation,Blocked Street - Construction,Report of construction blocking vehicle traffic.,Department of Transportation Blocked Street - Construction Report of construction blocking vehicle traffic.,department of transportation blocked street - construction report of construction blocking vehicle traffic.,department transit transportation blocked street construction report construction blocking vehicle traffic,"{'neg': 0.343, 'neu': 0.657, 'pos': 0.0, 'compound': -0.5719}"
616,1673,Mayor's Office of Immigrant Affairs,Citizenship Appointment,Request an appointment through NYCitizenship for free legal help with citizenship applications. Appointments are in public libraries.,Mayor's Office of Immigrant Affairs Citizenship Appointment Request an appointment through NYCitizenship for free legal help with citizenship applications. Appointments are in public libraries.,mayor's office of immigrant affairs citizenship appointment request an appointment through nycitizenship for free legal help with citizenship applications. appointments are in public libraries.,mayors office immigrant affairs citizenship appointment request appointment nycitizenship free legal help citizenship applications appointments public libraries,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.7579}"
617,1662,Department of Finance,Manhattan Resident Parking Tax Exemption Information and Assistance,Tax exemption for a Manhattan resident who rents a long-term parking space.,Department of Finance Manhattan Resident Parking Tax Exemption Information and Assistance Tax exemption for a Manhattan resident who rents a long-term parking space.,department of finance manhattan resident parking tax exemption information and assistance tax exemption for a manhattan resident who rents a long-term parking space.,department finance manhattan resident parking vehicles tax exemption information assistance tax exemption manhattan resident rents longterm parking vehicles space,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
618,1660,Department of Consumer Affairs,Investigate a Business Licensed by DCA,Information about New York City businesses licensed by the Department of Consumer Affairs.,Department of Consumer Affairs Investigate a Business Licensed by DCA Information about New York City businesses licensed by the Department of Consumer Affairs.,department of consumer affairs investigate a business licensed by dca information about new york city businesses licensed by the department of consumer affairs.,department constructionumer affairs investigate business licensed dca information new york city businesses licensed department constructionumer affairs,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
619,1657,Human Resources Administration,Job Center Complaint,Complaint about service or staff at a Job Center.,Human Resources Administration Job Center Complaint Complaint about service or staff at a Job Center.,human resources administration job center complaint complaint about service or staff at a job center.,human resources administration job center complaint complaint service staff job center,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5267}"
620,1657,,Littering,Report a location that is the target of chronic littering., Littering Report a location that is the target of chronic littering., littering report a location that is the target of chronic littering.,litter wasteing report location target chronic litter wasteing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
