,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores,neg,neu,pos,compound
174,183,Department of Sanitation,Other Enforcement,E3B Sidewalk Obstruction,Department of Sanitation Other Enforcement E3B Sidewalk Obstruction,department of sanitation other enforcement e3b sidewalk obstruction,department sanitation waste enforcement eb sidewalk obstruction,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}",0.318,0.682,0.0,-0.4215
175,180,Correspondence Unit,DOF Property - Request Copy,Copy of Notice of Property Value,Correspondence Unit DOF Property - Request Copy Copy of Notice of Property Value,correspondence unit dof property - request copy copy of notice of property value,correspondence unit dof property building request copy copy notice property building value,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}",0.0,0.821,0.179,0.34
176,178,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),Department of Environmental Protection Asbestos Asbestos Complaint (B1),department of environmental protection asbestos asbestos complaint (b1),department environmental protection asbestos asbestos complaint b,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",0.306,0.694,0.0,-0.296
177,177,Department of Buildings,Plumbing,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,Department of Buildings Plumbing Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,department of buildings plumbing plumbing work - illegal/no permit/standpipe/sprinkler,department buildings plumbing plumbing work illegal permit standpipe sprinkler,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.5574}",0.31,0.69,0.0,-0.5574
178,177,Department of Buildings,Construction Safety Enforcement,Best - Low-Rise Tracking Complaint,Department of Buildings Construction Safety Enforcement Best - Low-Rise Tracking Complaint,department of buildings construction safety enforcement best - low-rise tracking complaint,department buildings construction safety enforcement best lowrise tracking complaint,"{'neg': 0.145, 'neu': 0.395, 'pos': 0.461, 'compound': 0.7003}",0.145,0.395,0.461,0.7003
179,173,Refunds and Adjustments,DOF Parking - Payment Issue,Waive Penalty for Late Payment,Refunds and Adjustments DOF Parking - Payment Issue Waive Penalty for Late Payment,refunds and adjustments dof parking - payment issue waive penalty for late payment,refunds adjustments dof parking vehicles payment issue waive penalty late payment,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4588}",0.231,0.769,0.0,-0.4588
180,172,Department of Environmental Protection,Water System,Hydrant Defective (WC2),Department of Environmental Protection Water System Hydrant Defective (WC2),department of environmental protection water system hydrant defective (wc2),department environmental protection water system hydrant defective wc,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}",0.293,0.707,0.0,-0.4404
181,171,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,Department of Housing Preservation and Development UNSANITARY CONDITION SEWAGE,department of housing preservation and development unsanitary condition sewage,department housing preservation development unsanitary condition sewage,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
182,170,Department of Housing Preservation and Development,HPD Literature Request,The ABCs of Housing,Department of Housing Preservation and Development HPD Literature Request The ABCs of Housing,department of housing preservation and development hpd literature request the abcs of housing,department housing preservation development hpd general information abcs housing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
183,168,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,Department of Housing Preservation and Development SAFETY FIRE ESCAPE,department of housing preservation and development safety fire escape,department housing preservation development safety fire escape,"{'neg': 0.22, 'neu': 0.367, 'pos': 0.413, 'compound': 0.2732}",0.22,0.367,0.413,0.2732
184,167,Department of Buildings,General Construction/Plumbing,Debris - Excessive,Department of Buildings General Construction/Plumbing Debris - Excessive,department of buildings general construction/plumbing debris - excessive,department buildings general construction plumbing brush debris bulky excessive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
185,164,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,Department of Housing Preservation and Development GENERAL VENTILATION SYSTEM,department of housing preservation and development general ventilation system,department housing preservation development general ventilation system,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
186,163,Department of Sanitation,Literature Request,LIT Literature Request,Department of Sanitation Literature Request LIT Literature Request,department of sanitation literature request lit literature request,department sanitation waste general information lit general information,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4215}",0.286,0.714,0.0,-0.4215
187,160,Department of Sanitation,Dirty Conditions,E12 Illegal Dumping Surveillance,Department of Sanitation Dirty Conditions E12 Illegal Dumping Surveillance,department of sanitation dirty conditions e12 illegal dumping surveillance,department sanitation waste dirty unsanitary conditions e illegal dumping waste surveillance,"{'neg': 0.742, 'neu': 0.258, 'pos': 0.0, 'compound': -0.9246}",0.742,0.258,0.0,-0.9246
188,158,New York City Police Department,Homeless Encampment,N/A,New York City Police Department Homeless Encampment N/A,new york city police department homeless encampment n/a,new york city police department homeless encampment n,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
189,158,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Department of Parks and Recreation Overgrown Tree/Branches Hitting Building,department of parks and recreation overgrown tree/branches hitting building,department parks parks recreation parks recreation overgrown tree branches hitting building,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
190,156,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Department of Parks and Recreation Damaged Tree Entire Tree Has Fallen Down,department of parks and recreation damaged tree entire tree has fallen down,department parks parks recreation parks recreation damaged tree entire tree fallen,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.6597}",0.375,0.625,0.0,-0.6597
191,156,Department of Transportation,Traffic Signal Condition,Veh Signal Head,Department of Transportation Traffic Signal Condition Veh Signal Head,department of transportation traffic signal condition veh signal head,department transit transportation traffic signal condition veh signal head,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
192,156,Department of Consumer Affairs,Consumer Complaint,Exchange/Refund/Return,Department of Consumer Affairs Consumer Complaint Exchange/Refund/Return,department of consumer affairs consumer complaint exchange/refund/return,department constructionumer affairs constructionumer complaint exchange refund return,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}",0.239,0.761,0.0,-0.296
193,155,Department of Buildings,General Construction/Plumbing,Failure To Maintain,Department of Buildings General Construction/Plumbing Failure To Maintain,department of buildings general construction/plumbing failure to maintain,department buildings general construction plumbing failure maintain,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.5106}",0.355,0.645,0.0,-0.5106
194,154,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,Department of Buildings General Construction/Plumbing Working Contrary To Stop Work Order,department of buildings general construction/plumbing working contrary to stop work order,department buildings general construction plumbing working contrary stop work order,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}",0.196,0.804,0.0,-0.296
195,154,New York City Police Department,Animal Abuse,No Shelter,New York City Police Department Animal Abuse No Shelter,new york city police department animal abuse no shelter,new york city police department animal abuse shelter,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.6369}",0.375,0.625,0.0,-0.6369
196,151,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,Department of Buildings Plumbing Plumbing-Defective/Leaking/Not Maintained,department of buildings plumbing plumbing-defective/leaking/not maintained,department buildings plumbing plumbingdefective leaking maintained,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
197,147,Department of Environmental Protection,Sewer,Manhole Cover Broken/Making Noise (SB),Department of Environmental Protection Sewer Manhole Cover Broken/Making Noise (SB),department of environmental protection sewer manhole cover broken/making noise (sb),department environmental protection sewer manhole drain cover broken making noise sb,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4767}",0.237,0.763,0.0,-0.4767
198,147,Department of Buildings,Plumbing,Gas Utility Referral,Department of Buildings Plumbing Gas Utility Referral,department of buildings plumbing gas utility referral,department buildings plumbing gas utility referral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
199,146,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,Department of Buildings Building/Use Illegal. Commercial Use In Resident Zone,department of buildings building/use illegal. commercial use in resident zone,department buildings building use illegal commercial use resident zone,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.5574}",0.31,0.69,0.0,-0.5574
200,145,Department of Buildings,General Construction/Plumbing,"Building - Vacant, Open And Unguarded","Department of Buildings General Construction/Plumbing Building - Vacant, Open And Unguarded","department of buildings general construction/plumbing building - vacant, open and unguarded","department buildings general construction plumbing building abandonded, open unguarded","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
201,139,Department of Transportation,Street Sign - Damaged,Other/Unknown,Department of Transportation Street Sign - Damaged Other/Unknown,department of transportation street sign - damaged other/unknown,department transit transportation street sign damaged unknown,"{'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.4404}",0.326,0.674,0.0,-0.4404
202,137,New York City Police Department,Traffic,Congestion/Gridlock,New York City Police Department Traffic Congestion/Gridlock,new york city police department traffic congestion/gridlock,new york city police department traffic congestion gridlock,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
203,137,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Non Passenger,Taxi and Limousine Commission Taxi Complaint Driver Complaint - Non Passenger,taxi and limousine commission taxi complaint driver complaint - non passenger,taxi limousine commission taxi complaint driver complaint non passenger,"{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.5267}",0.386,0.614,0.0,-0.5267
204,136,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Department of Parks and Recreation Damaged Tree Tree Leaning/Uprooted,department of parks and recreation damaged tree tree leaning/uprooted,department parks parks recreation parks recreation damaged tree tree leaning uprooted,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}",0.225,0.775,0.0,-0.4404
205,136,Department of Environmental Protection,Water System,LOW WATER PRESSURE - WLWP,Department of Environmental Protection Water System LOW WATER PRESSURE - WLWP,department of environmental protection water system low water pressure - wlwp,department environmental protection water system low water pressure wlwp,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.5106}",0.381,0.619,0.0,-0.5106
206,135,Department of Environmental Protection,Noise,Noise: Private Carting Noise (NQ1),Department of Environmental Protection Noise Noise: Private Carting Noise (NQ1),department of environmental protection noise noise: private carting noise (nq1),department environmental protection noise noise private carting noise nq,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
207,134,Department of Transportation,Street Light Condition,Multiple Street Lights Out,Department of Transportation Street Light Condition Multiple Street Lights Out,department of transportation street light condition multiple street lights out,department transit transportation street light condition multiple street lights,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
208,131,Department of Consumer Affairs,Consumer Complaint,Overcharge,Department of Consumer Affairs Consumer Complaint Overcharge,department of consumer affairs consumer complaint overcharge,department constructionumer affairs constructionumer complaint overcharge,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",0.306,0.694,0.0,-0.296
209,131,Department of Consumer Affairs,Consumer Complaint,Non-Delivery Goods/Services,Department of Consumer Affairs Consumer Complaint Non-Delivery Goods/Services,department of consumer affairs consumer complaint non-delivery goods/services,department constructionumer affairs constructionumer complaint nondelivery goods services,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}",0.239,0.761,0.0,-0.296
210,130,New York City Police Department,Non-Emergency Police Matter,Trespassing,New York City Police Department Non-Emergency Police Matter Trespassing,new york city police department non-emergency police matter trespassing,new york city police department nonemergency police matter trespassing,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.0258}",0.0,0.879,0.121,0.0258
211,129,Department of Buildings,General Construction/Plumbing,Adjacent Buildings Not Protected,Department of Buildings General Construction/Plumbing Adjacent Buildings Not Protected,department of buildings general construction/plumbing adjacent buildings not protected,department buildings general construction plumbing adjacent buildings protected,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.0,0.707,0.293,0.4404
212,128,Department of Sanitation,Dirty Conditions,E5 Loose Rubbish,Department of Sanitation Dirty Conditions E5 Loose Rubbish,department of sanitation dirty conditions e5 loose rubbish,department sanitation waste dirty unsanitary conditions e loose rubbish,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.7906}",0.615,0.385,0.0,-0.7906
213,127,Department of Transportation,Curb Condition,Defacement,Department of Transportation Curb Condition Defacement,department of transportation curb condition defacement,department transit transportation curb condition defacement,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
214,125,Department of Transportation,Street Condition,Plate Condition - Noisy,Department of Transportation Street Condition Plate Condition - Noisy,department of transportation street condition plate condition - noisy,department transit transportation street condition plate condition noisy,"{'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.1779}",0.195,0.805,0.0,-0.1779
215,125,Department of Transportation,Highway Condition,Pothole - Highway,Department of Transportation Highway Condition Pothole - Highway,department of transportation highway condition pothole - highway,department transit transportation highway condition pothole highway,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
216,124,Department of Transportation,Street Sign - Missing,"No Parking, Standing, Stopping","Department of Transportation Street Sign - Missing No Parking, Standing, Stopping","department of transportation street sign - missing no parking, standing, stopping","department transit transportation street sign missing parking vehicles, standing, stopping","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4215}",0.322,0.678,0.0,-0.4215
217,124,Department of Buildings,Special Projects Inspection Team (SPIT),Sign/Awning/Marquee - Illegal/No Permit,Department of Buildings Special Projects Inspection Team (SPIT) Sign/Awning/Marquee - Illegal/No Permit,department of buildings special projects inspection team (spit) sign/awning/marquee - illegal/no permit,department buildings special projects inspection inspection code enforcement violation violationection team spit sign awning marquee illegal permit,"{'neg': 0.289, 'neu': 0.596, 'pos': 0.115, 'compound': -0.6249}",0.289,0.596,0.115,-0.6249
218,124,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,Department of Buildings General Construction/Plumbing Egress - Doors Locked/Blocked/Improper/No Secondary Means,department of buildings general construction/plumbing egress - doors locked/blocked/improper/no secondary means,department buildings general construction plumbing egress doors locked blocked improper secondary means,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2732}",0.16,0.84,0.0,-0.2732
219,123,Department of Environmental Protection,Water System,Other Water Problem (Use Comments) (WZZ),Department of Environmental Protection Water System Other Water Problem (Use Comments) (WZZ),department of environmental protection water system other water problem (use comments) (wzz),department environmental protection water system water problem use comments wzz,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4019}",0.231,0.769,0.0,-0.4019
220,122,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),Department of Environmental Protection Sewer Catch Basin Sunken/Damaged/Raised (SC1),department of environmental protection sewer catch basin sunken/damaged/raised (sc1),department environmental protection sewer catch basin sunken damaged raised sc,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}",0.244,0.756,0.0,-0.4404
221,121,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,Department of Buildings General Construction/Plumbing Fence - None/Inadequate,department of buildings general construction/plumbing fence - none/inadequate,department buildings general construction plumbing fence none inadequate,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.3089}",0.0,0.756,0.244,0.3089
222,118,Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,Department of Transportation Traffic Signal Condition LED Pedestrian Unit,department of transportation traffic signal condition led pedestrian unit,department transit transportation traffic signal condition led pedestrian unit,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
223,117,New York City Police Department,Vending,In Prohibited Area,New York City Police Department Vending In Prohibited Area,new york city police department vending in prohibited area,new york city police department vending prohibited area,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
224,117,Department of Buildings,BEST/Site Safety,Demolition Notification Received,Department of Buildings BEST/Site Safety Demolition Notification Received,department of buildings best/site safety demolition notification received,department buildings best site safety demolition notification received,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.7906}",0.0,0.462,0.538,0.7906
225,115,Department of Transportation,Street Light Condition,Fixture/Luminaire Door Open,Department of Transportation Street Light Condition Fixture/Luminaire Door Open,department of transportation street light condition fixture/luminaire door open,department transit transportation street light condition fixture luminaire door open,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
226,114,Department of Housing Preservation and Development,GENERAL,MAILBOX,Department of Housing Preservation and Development GENERAL MAILBOX,department of housing preservation and development general mailbox,department housing preservation development general mailbox,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
227,112,Taxi and Limousine Commission,Taxi Report,Driver Report,Taxi and Limousine Commission Taxi Report Driver Report,taxi and limousine commission taxi report driver report,taxi limousine commission taxi report driver report,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
228,111,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Other (CMO),Department of Environmental Protection Water Conservation Water Meter Broken/Leaking - Other (CMO),department of environmental protection water conservation water meter broken/leaking - other (cmo),department environmental protection water constructionervation water meter broken leaking cmo,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}",0.256,0.744,0.0,-0.4767
229,110,Department of Sanitation,Vacant Lot,8 Request to Clean Vacant Lot,Department of Sanitation Vacant Lot 8 Request to Clean Vacant Lot,department of sanitation vacant lot 8 request to clean vacant lot,department sanitation waste abandonded lot request clean abandonded lot,"{'neg': 0.224, 'neu': 0.56, 'pos': 0.216, 'compound': -0.0258}",0.224,0.56,0.216,-0.0258
230,110,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,Department of Housing Preservation and Development ELEVATOR MAINTENANCE,department of housing preservation and development elevator maintenance,department housing preservation development elevator maintenance,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
231,109,Department of Environmental Protection,Air Quality,"Air: Smoke, Chimney or vent (AS1)","Department of Environmental Protection Air Quality Air: Smoke, Chimney or vent (AS1)","department of environmental protection air quality air: smoke, chimney or vent (as1)","department environmental protection air quality air smoke, chimney vent","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
232,107,External Affairs Unit,DOF Property - Payment Issue,Amount Owed Dispute,External Affairs Unit DOF Property - Payment Issue Amount Owed Dispute,external affairs unit dof property - payment issue amount owed dispute,external affairs unit dof property building payment issue amount owed dispute,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}",0.213,0.787,0.0,-0.4019
233,107,Department of Transportation,Street Condition,Wear & Tear,Department of Transportation Street Condition Wear & Tear,department of transportation street condition wear & tear,department transit transportation street condition wear tear,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
234,107,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,Department of Consumer Affairs Consumer Complaint Damaged/Defective Goods,department of consumer affairs consumer complaint damaged/defective goods,department constructionumer affairs constructionumer complaint damaged defective goods,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.7906}",0.615,0.385,0.0,-0.7906
235,105,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Department of Parks and Recreation Maintenance or Facility Garbage or Litter,department of parks and recreation maintenance or facility garbage or litter,department parks parks recreation parks recreation maintenance facility garbage litter waste,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.4215}",0.219,0.781,0.0,-0.4215
236,104,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),Department of Environmental Protection Sewer Manhole Cover Missing (Emergency) (SA3),department of environmental protection sewer manhole cover missing (emergency) (sa3),department environmental protection sewer manhole drain cover missing emergency sa,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.5859}",0.375,0.625,0.0,-0.5859
237,103,Department of Transportation,Street Light Condition,Lamppost Damaged,Department of Transportation Street Light Condition Lamppost Damaged,department of transportation street light condition lamppost damaged,department transit transportation street light condition lamppost damaged,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}",0.293,0.707,0.0,-0.4404
238,103,Property Exec Office,DOF Property - Owner Issue,Condo Billing Issue,Property Exec Office DOF Property - Owner Issue Condo Billing Issue,property exec office dof property - owner issue condo billing issue,property building exec office dof property building owner issue condo billing issue,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
239,102,Department of Consumer Affairs,Consumer Complaint,False Advertising,Department of Consumer Affairs Consumer Complaint False Advertising,department of consumer affairs consumer complaint false advertising,department constructionumer affairs constructionumer complaint false advertising,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}",0.268,0.732,0.0,-0.296
240,100,New York City Police Department,Drug Activity,Use Indoor,New York City Police Department Drug Activity Use Indoor,new york city police department drug activity use indoor,new york city police department drug activity use indoor,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
241,99,Department of Transportation,Street Sign - Damaged,St Name - Attached to Pole,Department of Transportation Street Sign - Damaged St Name - Attached to Pole,department of transportation street sign - damaged st name - attached to pole,department transit transportation street sign damaged st name attached pole,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}",0.244,0.756,0.0,-0.4404
242,99,Department of Environmental Protection,Hazardous Materials,Chemical Odor (HD1),Department of Environmental Protection Hazardous Materials Chemical Odor (HD1),department of environmental protection hazardous materials chemical odor (hd1),department environmental protection hazardardous materials chemical odor hd,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
243,98,Department of Transportation,Street Sign - Missing,Other/Unknown,Department of Transportation Street Sign - Missing Other/Unknown,department of transportation street sign - missing other/unknown,department transit transportation street sign missing unknown,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}",0.268,0.732,0.0,-0.296
244,98,Department of Transportation,Traffic Signal Condition,Post,Department of Transportation Traffic Signal Condition Post,department of transportation traffic signal condition post,department transit transportation traffic signal condition post,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
245,97,Department of Health and Mental Hygiene,Indoor Sewage,Sewage Odor,Department of Health and Mental Hygiene Indoor Sewage Sewage Odor,department of health and mental hygiene indoor sewage sewage odor,department health mental hygiene indoor sewage sewage odor,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
246,97,Department of Buildings,Sustainability Enforcement,Sustainability Enforcement Work Order,Department of Buildings Sustainability Enforcement Sustainability Enforcement Work Order,department of buildings sustainability enforcement sustainability enforcement work order,department buildings sustainability enforcement sustainability enforcement work order,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
247,96,Department of Transportation,Street Light Condition,Street Light Lamp Dim,Department of Transportation Street Light Condition Street Light Lamp Dim,department of transportation street light condition street light lamp dim,department transit transportation street light condition street light lamp dim,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
248,95,Refunds and Adjustments,DOF Parking - Payment Issue,Mailed - Not Reflected,Refunds and Adjustments DOF Parking - Payment Issue Mailed - Not Reflected,refunds and adjustments dof parking - payment issue mailed - not reflected,refunds adjustments dof parking vehicles payment issue mailed reflected,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
249,94,Valuation Policy,DOF Property - Property Value,Property Value Dispute,Valuation Policy DOF Property - Property Value Property Value Dispute,valuation policy dof property - property value property value dispute,valuation policy dof property building property building value property building value dispute,"{'neg': 0.164, 'neu': 0.545, 'pos': 0.291, 'compound': 0.2732}",0.164,0.545,0.291,0.2732
250,92,Department of Transportation,Street Condition,Plate Condition - Shifted,Department of Transportation Street Condition Plate Condition - Shifted,department of transportation street condition plate condition - shifted,department transit transportation street condition plate condition shifted,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
251,92,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Taxi and Limousine Commission Taxi Complaint Driver Complaint - Passenger,taxi and limousine commission taxi complaint driver complaint - passenger,taxi limousine commission taxi complaint driver complaint passenger,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.5267}",0.423,0.577,0.0,-0.5267
252,92,Department of Housing Preservation and Development,GENERAL,JANITOR/SUPER,Department of Housing Preservation and Development GENERAL JANITOR/SUPER,department of housing preservation and development general janitor/super,department housing preservation development general janitor super,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.5994}",0.0,0.606,0.394,0.5994
253,92,Department of Buildings,Plumbing,Gas Hook-Up/Piping - Illegal Or Defective,Department of Buildings Plumbing Gas Hook-Up/Piping - Illegal Or Defective,department of buildings plumbing gas hook-up/piping - illegal or defective,department buildings plumbing gas hookup piping illegal defective,"{'neg': 0.52, 'neu': 0.48, 'pos': 0.0, 'compound': -0.7579}",0.52,0.48,0.0,-0.7579
254,91,HealthCare Connections,Housing Options,Other Housing Options,HealthCare Connections Housing Options Other Housing Options,healthcare connections housing options other housing options,healthcare connections housing options housing options,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
255,91,Department of Housing Preservation and Development,PAINT/PLASTER,WINDOW/FRAME,Department of Housing Preservation and Development PAINT/PLASTER WINDOW/FRAME,department of housing preservation and development paint/plaster window/frame,department housing preservation development paint plaster window frame,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
256,89,Department of Consumer Affairs,Consumer Complaint,Unlicensed,Department of Consumer Affairs Consumer Complaint Unlicensed,department of consumer affairs consumer complaint unlicensed,department constructionumer affairs constructionumer complaint unlicensed,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",0.306,0.694,0.0,-0.296
257,89,Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,Department of Buildings General Construction/Plumbing Debris - Falling Or In Danger Of Falling,department of buildings general construction/plumbing debris - falling or in danger of falling,department buildings general construction plumbing brush debris bulky falling danger falling,"{'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.6808}",0.452,0.548,0.0,-0.6808
